date,daily_confirmed_cases,total_confirmed_cases,daily_recovered_cases,total_recovered_cases,daily_death_cases,total_death_cases,daily_active_cases
25/1/2020,3,3,0,0,0,0,3
26/1/2020,0,3,0,0,0,0,3
27/1/2020,0,3,0,0,0,0,3
28/1/2020,0,3,0,0,0,0,3
29/1/2020,0,3,0,0,0,0,3
30/1/2020,0,3,0,0,0,0,3
31/1/2020,0,3,0,0,0,0,3
1/2/2020,0,3,0,0,0,0,3
2/2/2020,0,3,0,0,0,0,3
3/2/2020,0,3,0,0,0,0,3
4/2/2020,0,3,0,0,0,0,3
5/2/2020,0,3,0,0,0,0,3
6/2/2020,0,3,0,0,0,0,3
7/2/2020,0,3,0,0,0,0,3
8/2/2020,0,3,0,0,0,0,3
9/2/2020,0,3,0,0,0,0,3
10/2/2020,0,3,0,0,0,0,3
11/2/2020,0,3,0,0,0,0,3
12/2/2020,0,3,0,0,0,0,3
13/2/2020,0,3,0,0,0,0,3
14/2/2020,19,22,0,0,0,0,22
15/2/2020,0,22,22,22,0,0,0
2/27/2020,1,23,2,22,0,0,1
2/28/2020,2,25,0,22,0,0,3
2/29/2020,0,25,0,22,0,0,3
3/1/2020,4,29,0,22,0,0,7
3/2/2020,0,29,0,22,0,0,7
3/3/2020,7,36,0,22,0,0,14
3/4/2020,14,50,1,23,0,0,27
3/5/2020,5,55,0,23,0,0,32
3/6/2020,28,83,0,23,0,0,60
3/7/2020,10,93,1,24,0,0,69
3/8/2020,6,99,1,25,0,0,74
3/9/2020,18,117,1,26,0,0,91
3/10/2020,12,129,0,26,0,0,103
3/11/2020,20,149,1,27,0,0,122
3/12/2020,9,158,6,33,0,0,125
3/13/2020,39,197,0,33,0,0,164
3/14/2020,41,238,4,37,0,0,201
3/15/2020,190,428,5,42,0,0,386
3/16/2020,125,553,0,42,0,0,511
3/17/2020,120,673,7,49,2,2,622
3/18/2020,117,790,11,60,0,2,728
3/19/2020,110,900,15,75,0,2,823
3/20/2020,130,1030,12,87,0,2,941
3/21/2020,153,1183,27,114,2,4,1065
3/22/2020,123,1306,25,139,6,10,1157
3/23/2020,212,1518,20,159,4,14,1345
3/24/2020,106,1624,24,183,1,15,1426
3/25/2020,172,1796,16,199,4,19,1578
3/26/2020,235,2031,16,215,4,23,1793
3/27/2020,130,2161,44,259,3,26,1876
3/28/2020,159,2320,61,320,1,27,1973
3/29/2020,150,2470,68,388,7,34,2048
3/30/2020,156,2626,90,478,3,37,2111
3/31/2020,140,2766,58,536,6,43,2187
4/1/2020,142,2908,108,644,2,45,2219
4/2/2020,208,3116,122,766,5,50,2300
4/3/2020,217,3333,60,826,3,53,2454
4/4/2020,150,3483,88,914,4,57,2512
4/5/2020,179,3662,90,1004,4,61,2597
4/6/2020,131,3793,236,1240,1,62,2491
4/7/2020,170,3963,80,1320,1,63,2580
4/8/2020,156,4119,166,1486,2,65,2568
4/9/2020,109,4228,121,1607,2,67,2554
4/10/2020,118,4346,222,1829,3,70,2447
4/11/2020,184,4530,165,1994,3,73,2463
4/12/2020,153,4683,113,2107,3,76,2500
4/13/2020,134,4817,168,2275,1,77,2465
4/14/2020,170,4987,202,2477,5,82,2428
4/15/2020,85,5072,169,2646,1,83,2343
4/16/2020,110,5182,119,2765,1,84,2333
4/17/2020,69,5251,201,2966,2,86,2199
4/18/2020,54,5305,135,3101,2,88,2116
4/19/2020,84,5389,95,3196,1,89,2104
4/20/2020,36,5425,98,3294,0,89,2042
4/21/2020,57,5482,54,3348,3,92,2042
4/22/2020,50,5532,103,3451,1,93,1988
4/23/2020,71,5603,90,3541,2,95,1967
4/24/2020,88,5691,121,3662,1,96,1933
4/25/2020,51,5742,99,3761,2,98,1883
4/26/2020,38,5780,100,3861,0,98,1821
4/27/2020,40,5820,95,3956,1,99,1765
4/28/2020,31,5851,75,4031,1,100,1720
4/29/2020,94,5945,55,4086,0,100,1759
4/30/2020,57,6002,84,4170,2,102,1730
5/1/2020,69,6071,39,4209,1,103,1759
5/2/2020,105,6176,116,4325,0,103,1748
5/3/2020,122,6298,87,4412,2,105,1781
5/4/2020,55,6353,71,4483,0,105,1765
5/5/2020,30,6383,83,4566,1,106,1711
5/6/2020,45,6428,135,4701,1,107,1620
5/7/2020,39,6467,74,4775,0,107,1585
5/8/2020,68,6535,88,4863,0,107,1565
5/9/2020,54,6589,65,4928,1,108,1553
5/10/2020,67,6656,96,5024,0,108,1524
5/11/2020,70,6726,88,5112,1,109,1505
5/12/2020,16,6742,110,5222,0,109,1411
5/13/2020,37,6779,58,5280,2,111,1388
5/14/2020,40,6819,70,5350,1,112,1357
5/15/2020,36,6855,88,5438,0,112,1305
5/16/2020,17,6872,73,5511,1,113,1248
5/17/2020,22,6894,59,5570,0,113,1211
5/18/2020,47,6941,44,5614,0,113,1214
5/19/2020,37,6978,31,5645,1,114,1219
5/20/2020,31,7009,60,5705,0,114,1190
5/21/2020,50,7059,90,5795,0,114,1150
5/22/2020,78,7137,63,5858,1,115,1164
5/23/2020,48,7185,53,5911,0,115,1159
5/24/2020,60,7245,33,5944,0,115,1186
5/25/2020,172,7417,34,5978,0,115,1324
5/26/2020,187,7604,62,6040,0,115,1449
5/27/2020,15,7619,42,6082,0,115,1422
5/28/2020,10,7629,86,6168,0,115,1346
5/29/2020,103,7732,66,6234,0,115,1383
5/30/2020,30,7762,95,6329,0,115,1318
5/31/2020,57,7819,23,6352,0,115,1352
6/1/2020,38,7857,51,6403,0,115,1339
6/2/2020,20,7877,66,6469,0,115,1293
6/3/2020,93,7970,61,6530,0,115,1325
6/4/2020,277,8247,28,6558,0,115,1574
6/5/2020,19,8266,51,6609,1,116,1541
6/6/2020,37,8303,25,6634,1,117,1552
6/7/2020,19,8322,39,6673,0,117,1532
6/8/2020,7,8329,20,6693,0,117,1519
6/9/2020,7,8336,281,6974,0,117,1245
6/10/2020,2,8338,39,7013,1,118,1207
6/11/2020,31,8369,51,7064,0,118,1187
6/12/2020,33,8402,103,7167,1,119,1116
6/13/2020,43,8445,143,7310,1,120,1015
6/14/2020,8,8453,35,7345,1,121,987
6/15/2020,41,8494,54,7399,0,121,974
6/16/2020,11,8505,333,7732,0,121,652
6/17/2020,10,8515,140,7872,0,121,522
6/18/2020,14,8529,127,7999,0,121,409
6/19/2020,6,8535,70,8069,0,121,345
6/20/2020,21,8556,76,8145,0,121,290
6/21/2020,16,8572,10,8155,0,121,296
6/22/2020,15,8587,21,8176,0,121,290
6/23/2020,3,8590,9,8185,0,121,284
6/24/2020,6,8596,45,8230,0,121,245
6/25/2020,4,8600,40,8270,0,121,209
6/26/2020,6,8606,23,8293,0,121,192
6/27/2020,10,8616,14,8307,0,121,188
6/28/2020,18,8634,10,8317,0,121,196
6/29/2020,3,8637,16,8333,0,121,183
6/30/2020,2,8639,20,8353,0,121,165
7/1/2020,1,8640,21,8374,0,121,145
7/2/2020,3,8643,62,8436,0,121,86
7/3/2020,5,8648,9,8445,0,121,82
7/4/2020,10,8658,15,8460,0,121,77
7/5/2020,5,8663,4,8464,0,121,78
7/6/2020,5,8668,11,8475,0,121,72
7/7/2020,6,8674,5,8480,0,121,73
7/8/2020,3,8677,5,8485,0,121,71
7/9/2020,6,8683,13,8498,0,121,64
7/10/2020,13,8696,12,8510,0,121,65
7/11/2020,8,8704,4,8514,1,122,68
7/12/2020,14,8718,4,8518,0,122,78
7/13/2020,7,8725,1,8519,0,122,84
7/14/2020,4,8729,4,8523,0,122,84
7/15/2020,5,8734,2,8525,0,122,87
7/16/2020,3,8737,12,8537,0,122,78
7/17/2020,18,8755,3,8540,0,122,93
7/18/2020,9,8764,5,8545,0,122,97
7/19/2020,15,8779,7,8552,1,123,104
7/20/2020,21,8800,2,8554,0,123,123
7/21/2020,15,8815,7,8561,0,123,131
7/22/2020,16,8831,4,8565,0,123,143
7/23/2020,9,8840,8,8573,0,123,144
7/24/2020,21,8861,3,8576,0,123,162
7/25/2020,23,8884,17,8593,0,123,168
7/26/2020,13,8897,6,8599,1,124,174
7/27/2020,7,8904,1,8600,0,124,180
7/28/2020,39,8943,6,8606,0,124,213
7/29/2020,13,8956,5,8611,0,124,221
7/30/2020,8,8964,5,8616,0,124,224
7/31/2020,12,8976,27,8643,1,125,208
8/1/2020,9,8985,3,8646,0,125,214
